id,food_code,food_name,country_origin,manufacturer,category_main,category_sub,food_image,allergy_info,storage_info,product_type
1,D000006-94-AVG,꿩불고기,대한민국,충주,구이류,육류구이,,,,품목대표
2,D000007-ZZ-AVG,닭갈비,대한민국,전국(대표),구이류,육류구이,,,,품목대표
3,D000008-66-AVG,닭갈비,대한민국,춘천,구이류,육류구이,,,,품목대표
4,D000009-ZZ-AVG,닭꼬치,대한민국,전국(대표),구이류,육류구이,,,,품목대표
5,D000010-ZZ-AVG,더덕구이,대한민국,전국(대표),구이류,채소류구이,,,,품목대표
6,D000011-ZZ-AVG,도미구이,대한민국,전국(대표),구이류,어패류구이,,,,품목대표
7,D000012-95-AVG,돼지갈비,대한민국,서울특별시 마포구,구이류,육류구이,,,,품목대표
8,D000015-ZZ-AVG,병어구이,대한민국,전국(대표),구이류,어패류구이,,,,품목대표
9,D000016-96-AVG,불고기,대한민국,광양,구이류,육류구이,,,,품목대표
10,D000017-05-AVG,붕장어소금구이,대한민국,고흥,구이류,어패류구이,,,,품목대표
11,D000020-ZZ-AVG,소양념갈비구이,대한민국,전국(대표),구이류,육류구이,,,,품목대표
12,D000021-97-AVG,양념왕갈비,대한민국,수원,구이류,육류구이,,,,품목대표
13,D000022-ZZ-AVG,양념장어구이,대한민국,전국(대표),구이류,어패류구이,,,,품목대표
14,D000023-ZZ-AVG,임연수구이,대한민국,전국(대표),구이류,어패류구이,,,,품목대표
15,D000024-10-AVG,짚불구이곰장어,대한민국,기장,구이류,어패류구이,,,,품목대표
16,D000025-ZZ-AVG,햄버그스테이크,대한민국,전국(대표),구이류,육류구이,,,,품목대표
17,D000026-ZZ-AVG,황태구이,대한민국,전국(대표),구이류,어패류구이,,,,품목대표
18,D000027-ZZ-AVG,훈제오리,대한민국,전국(대표),구이류,육류구이,,,,품목대표
19,D000028-68-AVG,게국지,대한민국,태안,국 및 탕류,어패류국.탕,,,,품목대표
20,D000029-98-AVG,곰치국,대한민국,삼척,국 및 탕류,어패류국.탕,,,,품목대표
21,D000030-ZZ-AVG,굴국밥,대한민국,전국(대표),국 및 탕류,어패류국.탕,,,,품목대표
22,D000032-ZZ-AVG,김치국,대한민국,전국(대표),국 및 탕류,채소류국.탕,,,,품목대표
