cooked_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
1,500,368.8,39.7,16.9,33.5,8.5,106.18,1264.31,1.9,0.1
2,400,595.61,44.9,21.2,45.9,25.8,193.4,1535.83,6,0.2
3,300,558.47,23.1,8.5,45.5,31.6,217.67,1016.94,11.3,0.3
4,70,176.72,13.35,3.15,11.56,8.57,31.44,286.91,2.32,0.04
5,100,184,31.1,11.6,3.1,5.2,0.12,743.37,0.8,0
6,250,397,2.1,0,61.1,16.5,211.24,1582.17,3.8,0.1
7,100,240.32,8.1,4.5,19.5,14.4,49.34,404.66,4.7,0.1
8,250,488,0.2,0,54.6,30.8,198.51,1567.94,8.9,0.2
9,150,395.29,7.8,7.9,34.4,25.2,68.85,560.71,6.6,0.4
10,100,296.54,11.6,0.4,26,16.2,167.07,124.75,3.6,0.2
11,300,989.15,26.2,13.9,60.1,71.6,186.63,1378.45,27.2,3.5
12,150,480.81,13.7,6.8,27.1,35.3,58.52,548.76,13,2.2
13,150,433.35,8.8,4.18,30.77,30.56,215.24,704.64,7.1,0.27
14,250,494,3.5,0,53.8,29.4,212.61,1568.96,6.1,1.7
15,200,326.21,2.3,1.2,42.7,16.2,341.83,826.79,2.8,0.1
16,200,457.7,20.76,5.33,26.96,29.65,70.28,950.22,9.41,0.31
17,200,437.57,26.9,14.2,47.8,15.4,211.58,1135.33,2.4,0.1
18,250,797.14,12.08,0.27,43.06,64.07,171,1220.37,15.98,0.39
19,1100,415.25,31.7,10.8,44.9,12.1,388.15,4047.26,2,0.2
20,1000,419.29,23.9,2.8,54.3,11.8,476.47,3802.06,1.4,0.1
21,650,683,88.4,0.3,42.4,17.8,518.37,1635.39,3.9,0.1
22,450,89,10.5,2.9,5.4,2.8,0,1642.08,0.3,0
23,700,624.92,110.71,0.16,20.06,11.32,122.42,1980.19,3.44,0.08
24,700,434.05,47.83,3.05,21.43,17.44,94.52,2367.99,4.24,0.05
25,700,221,34.6,5.2,8.3,5.5,5.46,1712.29,0.2,0
26,500,119,13.4,0.4,10,2.8,6.62,1420.3,0.6,0.1
27,450,104,14.7,5.9,6.1,2.4,0,1741.46,0.3,0
28,150,38,2.8,0.7,2.8,1.8,0,517.03,0.2,0
29,550,157,10.1,1.3,22,3.1,89.36,1596.17,0.6,0
30,1000,714,23.4,5.7,74.6,35.7,321.72,3088.21,14.3,0.1
31,1000,312,16.7,3.9,49.3,5.4,230.52,3074.53,2.7,0.1
32,400,123,7.8,3.5,14.2,4,38.43,1067.02,1.3,0.1
