id,category_name,depth,parent_category_id
1,㈜바이오포트코리아,0,
2,가공두부,0,
3,가공두유,0,
4,가공버터,0,
5,가공연유,0,
6,가공유,0,
7,가공유지,0,
8,가공유크림,0,
9,가공치즈,0,
10,간편조리세트,0,
11,강화우유,0,
12,개량메주,0,
13,건면,0,
14,고추씨기름,0,
15,고추장,0,
16,고춧가루,0,
17,고형차,0,
18,곡류 및 서류,0,
19,곡류가공품,0,
20,곤충가공식품,0,
21,과/채가공품,0,
22,과/채음료,0,
23,과/채주스,0,
24,과실주,0,
25,과자,0,
26,과자류,0,
27,구이류,0,
28,국 및 탕류,0,
29,기타,0,
30,기타 농산가공품,0,
31,기타 수산물가공품,0,
32,기타 식용유지가공품,0,
33,기타 어육가공품,0,
34,기타 코코아가공품,0,
35,기타가공품,0,
36,기타발효음료,0,
37,기타설탕,0,
38,기타식물성유지,0,
39,기타장류,0,
40,기타잼,0,
41,김치,0,
42,김치류,0,
43,농축과/채즙(또는 과/채분),0,
44,농축산물,0,
45,농후발효유,0,
46,농후크림발효유,0,
47,당류가공품,0,
48,당시럽류,0,
49,당절임,0,
50,된장,0,
51,두류가공품,0,
52,두부,0,
53,들기름,0,
54,땅콩 또는 견과류가공품,0,
55,땅콩기름(낙화생유),0,
56,땅콩버터,0,
57,떡류,0,
58,마가린,0,
59,마요네즈,0,
60,만두,0,
61,만두피,0,
62,면 및 만두류,0,
63,모조치즈,0,
64,묵류,0,
65,물엿,0,
66,미강유(현미유),0,
67,밀가루,0,
68,밀크초콜릿,0,
69,발효소시지,0,
70,발효식초,0,
71,발효유,0,
72,밥류,0,
73,버터,0,
74,벌꿀,0,
75,베이컨류,0,
76,복합조미식품,0,
77,볶음류,0,
78,분쇄가공육제품,0,
79,비유지방아이스크림,0,
80,빙과,0,
81,빵류,0,
82,산분해간장,0,
83,산양유,0,
84,생면,0,
85,생채및 무침류,0,
86,생햄,0,
87,샤베트,0,
88,서류가공품,0,
89,선천성 대사질환자용 식품,0,
90,설탕,0,
91,성장기용 조제식,0,
92,성장기용 조제유,0,
93,소스,0,
94,소시지,0,
95,쇼트닝,0,
