id,food_code,food_name,country_origin,manufacturer,category_main,category_sub,food_image,allergy_info,storage_info,harvest_time
1,R000001-ZZ-AVG,"귀리, 겉귀리, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
2,R000002-ZZ-AVG,"귀리, 쌀귀리, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
3,R000003-ZZ-AVG,"귀리, 쌀귀리, 대양, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
4,R000004-ZZ-AVG,"귀리, 쌀귀리, 조양, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
5,R000005-ZZ-AVG,"귀리, 쌀귀리, 도정, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
6,R000006-ZZ-AVG,"귀리, 쌀귀리, 대양, 도정, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
7,R000007-ZZ-AVG,"귀리, 쌀귀리, 조양, 도정, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
8,R000008-ZZ-AVG,"귀리, 오트밀",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
9,R000009-ZZ-AVG,"기장, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
10,R000010-ZZ-AVG,"기장, 찰기장, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
11,R000011-ZZ-AVG,"기장, 찰기장, 이백찰, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
12,R000012-ZZ-AVG,"기장, 찰기장, 한라찰, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
13,R000013-ZZ-AVG,"기장, 찰기장, 황실찰, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
14,R000014-ZZ-AVG,"메밀, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
15,R000015-ZZ-AVG,"메밀, 도정, 가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
16,R000016-ZZ-AVG,"메밀 국수, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
17,R000017-ZZ-AVG,"메밀 국수, 생것, 삶은것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
18,R000018-ZZ-AVG,"메밀 국수, 말린것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
19,R000019-ZZ-AVG,"메밀 국수, 말린것, 삶은것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
20,R000020-ZZ-AVG,"메밀 냉면, 말린것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
