fresh_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
1,100,380 ,67.71,0.32,11.40,7.35,0,0,1.14,0
2,100,388 ,66.66,0.91,11.14,8.90,0,1,1.45,0.01
3,100,386 ,66.10,0.91,11.51,8.78,0,2,1.37,0.01
4,100,390 ,67.23,0.91,10.78,9.01,0,1,1.53,0.01
5,100,218 ,36.54,0.42,6.51,5.36,0,1,0.86,0.01
6,100,215 ,36.09,0.43,6.71,5.13,0,1,0.77,0.01
7,100,221 ,36.98,0.41,6.31,5.59,0,0,0.94,0.01
8,100,382 ,64.9,0,13.2,8.2,0,4,0,0
9,100,360 ,74.6,0,11.2,1.9,0,6,0,0
10,100,371 ,69.65,0.46,13.63,3.77,0,5,0.51,0
11,100,373 ,69.49,0.61,13.72,4.03,0,4,0.53,0
12,100,373 ,69.78,0.61,12.80,4.35,0,7,0.59,0
13,100,368 ,67.42,0.61,15.55,3.62,0,7,0.48,0
14,100,363 ,67.84,0.30,13.64,3.38,0,1,0.71,0
15,100,374 ,71.36,0.30,12.96,3.29,0,1,0.70,0
16,100,291 ,61.14,0,7.59,0.96,0,455,0.27,0
17,100,124 ,25.73,0,3.54,0.44,0,38,0.13,0
18,100,372 ,74.41,2.77,13.58,1.27,0,707,0.38,0
19,100,114 ,22.65,0,4.28,0.40,0,35,0.12,0
20,100,360 ,73.66,0,10.74,1.44,0,628,0.34,0.01
21,100,141 ,28.71,0,4.22,0.59,0,68,0.14,0
22,100,58 ,12.80,0,0.86,0.23,0,120,0.06,0
23,100,371 ,77.39,0.30,8.33,2.04,0,2,0.45,0
24,100,343,75.8,0.6,6.5,2,0,1,0.55,0
25,100,366 ,78.74,0.50,6.81,1.05,0,2,0.30,0
26,100,362 ,74.30,1.81,8.40,2.04,0,1,0.65,0
27,100,354 ,77.23,0.03,6.07,0.67,0,3,0.23,0
28,100,369 ,79.46,0.82,6.69,1.10,0,4,0.43,0
29,100,366 ,78.14,0.89,6.85,1.34,0,4,0.29,0
30,100,360 ,76.91,0.31,6.97,1.14,0,1,0.37,0.01
31,100,361 ,76.89,0.18,7.77,0.81,0,4,0.30,0.01
32,100,370 ,78.36,0.46,7.16,1.53,0,4,0.29,0
33,100,367 ,79.71,0.16,6.31,0.90,0,1,0.27,0
34,100,366 ,78.57,0.15,6.92,1.04,0,0,0.29,0
35,100,366 ,80.9,0,6.1,0.2,0,8,0,0
36,100,363 ,78.14,0.37,6.71,1.04,0,0,0.29,0
37,100,346 ,76.7,0,5.7,0.1,0,17,0,0
38,100,361 ,78.01,0.09,6.06,1.09,0,1,0.30,0
39,100,374 ,80.36,1.03,6.02,1.57,0,2,0.34,0
40,100,371 ,79.87,0.81,5.72,1.54,0,3,0.34,0
41,100,363 ,78.78,0.76,6.60,0.75,0,2,0.26,0
42,100,371 ,79.46,0.47,7.38,0.93,0,0,0.27,0
43,100,365 ,79.10,0.22,6.20,0.99,0,1,0.31,0.01
44,100,372 ,79.3,0,7.7,1.0,0,11,0,0
45,100,367 ,78.52,0.43,7.06,1.12,0,1,0.36,0
46,100,353 ,78.5,0,5.7,0.1,0,5,0,0
47,100,373 ,81.4,0,6.7,0.6,0,3,0,0
48,100,364 ,79.09,0.79,6.43,0.77,0,4,0.29,0
49,100,375 ,81.4,0,6.3,1.0,0,19,0,0
50,100,375 ,80.3,0,8.3,0.6,0,3,0,0
51,100,366 ,77.32,0.10,8.33,0.94,0,0,0.27,0
52,100,367 ,78.46,0.43,7.35,1.05,0,0,0.31,0
53,100,373 ,80.03,1.42,7.11,1.05,0,2,0.35,0
54,100,369 ,79.30,1.06,7.13,0.88,0,3,0.31,0
55,100,371 ,80.24,1.17,6.65,0.93,0,3,0.31,0
56,100,365 ,77.39,0.38,7.33,1.34,0,0,0.35,0
57,100,362 ,77.30,0.09,8.23,0.56,0,4,0.19,0
58,100,368 ,79.9,0,7.0,0.6,0,4,0,0
