NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
1,50,100,-,4,-,-,-,50,3.1,0
2,50,254.8,-,12.05,-,-,-,175,6.75,0
3,30,155,-,9,-,-,-,49,7,0
4,45,190,-,20,-,-,-,75,0.7,0
5,40,155,-,10,-,-,-,11,1,0
6,40,205,-,7,-,-,-,70,6,0
7,30,132,-,11,-,-,-,110,3.5,0
8,30,170,-,3,-,-,-,30,3.9,0
9,30,105,-,12.6,-,-,-,6.6,0.18,0
10,30,120,-,5,-,-,-,150,1.4,0
11,27,130,-,5,-,-,-,90,1.8,0
12,30,148,-,1,-,-,-,181,3,0
13,38,195,-,8,-,-,-,100,5,0.5
14,35,159,-,7,-,-,-,98,3.7,0
15,20,100,-,7.4,-,-,-,80,2.5,0
16,30,115,-,0.2,-,-,-,22,0.1,0
17,30,140,-,9,-,-,-,95,1.5,0
18,30,125,-,17,-,-,-,80,1.2,0
19,30,145,-,3,-,-,-,110,2.7,0.3
20,30,115,-,1,-,-,-,46,0.1,0
21,30,135,-,6,-,-,-,75,1.2,0
22,45,205,-,12,-,-,-,30,5,0
23,50,185,-,13.9,-,-,-,22,0,0
24,100,433,-,15,-,-,-,246,2,0
25,20,355,-,35,-,-,-,60,1,0
26,30,106,-,1,-,-,-,24,0,0
27,25,117,-,7,-,-,-,67,2.5,0
28,50,207,-,20,-,-,-,28,2.1,0
29,30,125,-,12,-,-,-,75,0.8,0
30,30,128.6,-,10.1,-,-,-,34.3,5.86,0.43
31,36,108,-,3.2,-,-,-,11.61,0,0
32,100,420,-,33,-,-,-,76,2,0
33,39,167,-,11,-,-,-,47,4.8,0
34,30,104.52,-,10.28,-,-,-,0.33,0.05,0
35,30,140,-,2,-,-,-,35,1.2,0
36,30,135,-,1,-,-,-,240,1.5,0
37,30,150,-,4,-,-,-,65,3.5,0
38,40,192,-,9,-,-,-,10,2,0
39,30,123,-,3,-,-,-,183,0.3,0
40,40,155,-,0,-,-,-,8.46,0,0
41,26,82,-,11,-,-,-,20,0,0
42,30,125,-,5,-,-,-,10,0,-
43,30,136,-,8,-,-,-,66,2.5,0
44,30,170,-,5,-,-,-,117,4.5,0.5
45,25,124,-,9,-,-,-,24,3,0
46,30,133,-,4,-,-,-,82,1,0
47,90,445,-,25,-,-,-,190,11,0
48,200,120,-,21,-,-,-,-,-,-
49,330,150,-,36,-,-,-,-,-,-
50,200,132,-,33,-,-,-,-,-,-
51,200,95,-,21,-,-,-,-,-,-
52,200,96,-,22.5,-,-,-,-,-,-
53,200,100,-,22,-,-,-,-,-,-
54,200,105,-,25,-,-,-,-,-,-
55,200,85,-,18,-,-,-,-,-,-
56,70,18,-,4,-,-,-,-,-,-
57,270,155,-,31,-,-,-,-,-,-
58,160,74,-,11,-,-,-,-,-,-
59,80,30,-,3,-,-,-,-,-,-
60,25,10,-,2,-,-,-,-,-,-
61,100,315.26,-,73.52,-,-,-,-,-,-
62,25,48.35,-,8.14,-,-,-,-,-,-
63,100,275,-,59,-,-,-,-,-,-
64,40,85.92,-,18,-,-,-,-,-,-
65,190,113,-,14,-,-,-,-,-,-
66,190,86,-,14,-,-,-,-,-,-
67,100,36,-,9,-,-,-,-,-,-
68,100,18,-,4,-,-,-,-,-,-
69,120,55,-,11.8,-,-,-,-,-,-
70,120,69.5,-,13.4,-,-,-,-,-,-
71,200,70,-,17,-,-,-,-,-,-
72,200,70,-,16,-,-,-,-,-,-
73,120,66,-,15,-,-,-,-,-,-
74,50,265,-,10,-,-,-,290,2,0
75,70,175,-,4,-,-,-,70,0.2,0
76,130,325,-,4,-,-,-,320,2.6,0
77,69,212,-,20,-,-,-,143,1.5,0
78,50,140,-,18,-,-,-,40,1,0
79,50,140,-,18,-,-,-,40,1,0
80,50,135,-,3,-,-,-,220,0.7,0
81,100,285,-,7,-,-,-,240,3.3,0
82,65,230,-,2,-,-,-,90,4.3,0
83,100,400,-,32,-,-,-,83,4,0
84,100,387,-,17,-,-,-,353,3,0
85,100,54,-,12,-,-,-,-,-,-
86,100,53.4,-,12.4,-,-,-,-,-,-
87,58,180,-,33,-,-,-,55,0.6,0
88,25,90,-,0,-,-,-,0,0,0
89,25,90,-,0,-,-,-,0,0,0
90,25,90,-,0,-,-,-,0,0,0
91,100,247.97,-,0,-,-,-,388,0.34,0
92,200,404.34,-,8.03,-,-,-,646.34,0.2,0
93,100,313,-,7,-,-,-,112,7,0
94,400,331,-,0,-,-,-,394,0,0
95,100,318,-,7.4,-,-,-,291,6,0
96,100,290,-,3.7,-,-,-,338.2,3.8,0
97,100,265,-,-,-,-,-,240,-,0
98,100,295,-,-,-,-,-,550,-,0
99,200,473,-,1.7,-,-,-,410,0.4,0
100,200,491,-,0.3,-,-,-,620,0.5,0
101,100,302,-,11,-,-,-,63,-,-
102,100,230,-,11,-,-,-,63,-,-
103,70,30,-,4,-,-,-,-,-,-
104,70,20,-,4,-,-,-,-,-,-
105,80,250,-,17,-,-,-,85,3.2,0
106,80,258,-,15,-,-,-,262,4,0
107,100,315,-,12,-,-,-,350,13,0
108,80,30,-,7,-,-,-,-,-,-
109,70,5,-,0,-,-,-,-,-,-
110,80,201,-,6,-,-,-,295,2,0.1
111,73,188,-,6,-,-,-,228,2.1,0.1
112,200,510.32,-,1.72,-,-,-,382.52,1,0
113,200,512.72,-,3.22,-,-,-,94.68,0,0
114,167,602,-,2,-,-,-,36,0.5,0
115,111,380,-,12,-,-,-,910,1,0
116,106,355,-,3,-,-,-,860,0.6,0
117,158,435,-,5,-,-,-,1730,0.8,0
118,200,535,-,6.3,-,-,-,1510,1.8,0
119,200,470,-,0,-,-,-,420,0,0
120,200,465,-,0,-,-,-,650,0,0
121,167,464,-,1.7,-,-,-,830,0,0
122,167,464,-,1.7,-,-,-,830,0,0
123,100,259.58,-,5.18,-,-,-,119.72,0.52,-
124,100,253.88,-,4.49,-,-,-,301.88,2.34,-
125,167,470,-,0,-,-,-,886,0,-
126,167,489,-,0,-,-,-,634,0,-
127,70,221,-,11,-,-,-,74,4,0
128,70,213,-,4,-,-,-,74,3,0
129,49,190,-,5,-,-,-,140,3.3,0
130,90,3.52,-,0,-,-,-,-,-,-
131,60,192,-,47,-,-,-,-,-,-
132,100,175,-,35,-,-,-,-,-,-
133,100,223.73,-,50.31,-,-,-,-,-,-
134,80,40,-,9,-,-,-,-,-,-
135,70,28,-,5,-,-,-,-,-,-
136,70,55.3,-,8.7,-,-,-,-,-,-
137,60,204,-,51,-,-,-,-,-,-
138,195,95,-,5,-,-,-,-,-,-
139,90,40,-,10,-,-,-,-,-,-
140,20,5.96,-,1.25,-,-,-,-,-,-
141,90,30,-,5,-,-,-,-,-,-
142,100,42.8,-,7.62,-,-,-,-,-,-
143,100,45.6,-,8.85,-,-,-,-,-,-
144,25,22,-,4,-,-,-,-,-,-
145,150,75,-,17,-,-,-,-,-,-
146,150,75,-,17,-,-,-,-,-,-
147,20,50,-,11,-,-,-,-,-,-
148,300,156,-,37,-,-,-,-,-,-
149,210,70,-,14,-,-,-,-,-,-
150,190,65,-,15,-,-,-,-,-,-
151,75,39,-,6,-,-,-,-,-,-
152,250,90,-,15,-,-,-,-,-,-
153,200,95,-,19,-,-,-,-,-,-
154,100,30,-,7,-,-,-,-,-,-
155,100,36,-,8,-,-,-,-,-,-
156,190,105,-,26,-,-,-,-,-,-
157,5,0,-,0,-,-,-,-,-,-
158,100,55,-,13,-,-,-,-,-,-
159,260,16,-,4,-,-,-,-,-,-
160,100,55,-,5,-,-,-,-,-,-
161,200,120,-,29,-,-,-,-,-,-
162,355,60,-,8,-,-,-,-,-,-
163,200,145,-,21,-,-,-,-,-,-
164,360,155,-,37,-,-,-,-,-,-
165,100,35,-,8,-,-,-,-,-,-
166,180,120,-,23,-,-,-,-,-,-
167,190,60,-,15,-,-,-,-,-,-
168,100,44,-,9,-,-,-,-,-,-
169,355,60,-,8,-,-,-,-,-,-
170,80,40,-,9,-,-,-,-,-,-
171,100,350,-,7,-,-,-,3190,0,0
172,39,200,-,8,-,-,-,95,6,0
173,115,314,-,26,-,-,-,190,1.9,0
174,92,320,-,3,-,-,-,1650,0,0
175,113,400,-,3,-,-,-,1710,0.6,0
176,100,350,-,7,-,-,-,3190,0,0
177,28,143,-,9,-,-,-,95,3,0
178,35,166.2,-,9.5,-,-,-,80.5,4.9,0
179,26,125,-,5,-,-,-,80,3,0
180,100,459,-,8.5,-,-,-,346,0.31,0
181,30,150,-,5,-,-,-,105,2.5,-
182,45,225,-,1,-,-,-,260,3.6,-
183,30,135,-,14,-,-,-,160,0.5,0
184,100,350,-,3,-,-,-,1300,0,0
185,30,135,-,14,-,-,-,160,0.5,0
186,188,525,-,7,-,-,-,1410,0,0
187,17,57,-,2.3,-,-,-,61,0.5,0
188,30,140,-,5,-,-,-,100,2.5,0
189,30,115,-,6.1,-,-,-,14.8,0.5,0
190,30,140,-,8,-,-,-,20,2,0
191,30,127.92,-,12.09,-,-,-,16.23,0.03,0
192,25,120,-,2.7,-,-,-,93.9,1,0
193,30,134,-,5,-,-,-,152,1,0
194,30,147,-,4,-,-,-,129,1,0
195,30,141,-,4,-,-,-,156,2,0
196,30,125,-,20,-,-,-,0,0.7,0
197,30,120,-,9,-,-,-,10,0,0
198,30,134,-,8,-,-,-,123,1,0
199,30,130,-,16,-,-,-,10,0.7,0
200,120,120,-,21,-,-,-,-,-,-
201,120,45,-,8,-,-,-,-,-,-
202,66,165,-,4,-,-,-,260,1.3,0
203,100,296,-,2.6,-,-,-,1614,0,0
204,100,334,-,5,-,-,-,1444,0,0
205,120,396,-,8,-,-,-,588,1.2,0
206,120,402,-,8,-,-,-,624,1.1,0
207,12,40,-,3,-,-,-,8,0,0
208,10,40,-,3,-,-,-,0,0,0
209,10,40,-,6,-,-,-,0,0,0
210,8,27,-,3,-,-,-,25,0,0
211,12,50,-,7,-,-,-,15,0.5,0
212,30,105,-,11,-,-,-,55,3,0
